"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"49",NA,NA,"200 000 Ft/hó",NA,"Füredi sétány"," Sopron","90 m² terület","3 + 1 fél szoba",NA
"50",NA,NA,"140 000 Ft/hó",NA,"Katona József utca"," XIII. kerület","44 m² terület","1 + 1 fél szoba",NA
"51","Azonnal költözhető",NA,"249 900 Ft/hó",NA,"Pozsonyi út"," XIII. kerület","102 m² terület","2 + 1 fél szoba","4 m² erkély"
"52",NA,NA,"250 000 Ft/hó",NA,"Hollán Ernő utca"," XIII. kerület","85 m² terület","3 + 1 fél szoba","8 m² erkély"
"53","Új építésű",NA,"250 000 Ft/hó",NA,"Pannónia utca 77-79"," XIII. kerület","53 m² terület","2 szoba","5 m² erkély"
"54",NA,NA,"210 000 Ft/hó",NA,"Petneházy utca"," XIII. kerület","57 m² terület","1 + 2 fél szoba","5 m² erkély"
"55","Videó elérhető",NA,"210 000 Ft/hó",NA,"Petneházy utca"," XIII. kerület","57 m² terület","1 + 2 fél szoba","5 m² erkély"
"56",NA,NA,"145 000 Ft/hó",NA,"Vizafogó"," XIII. kerület","64 m² terület","1 + 2 fél szoba",NA
"57",NA,NA,"145 000 Ft/hó",NA,"Párkány utca"," XIII. kerület","60 m² terület","1 + 2 fél szoba","3 m² erkély"
"58",NA,NA,"145 000 Ft/hó",NA,"Párkány utca"," XIII. kerület","58 m² terület","1 + 2 fél szoba","4 m² erkély"
"59","Új építésű",NA,"187 500 Ft/hó",NA,"Madarász Viktor utca 38"," XIII. kerület","47 m² terület","1 + 1 fél szoba","5 m² erkély"
"60",NA,NA,"110 000 Ft/hó",NA,"Berda József utca 10"," IV. kerület","37 m² terület","1 szoba",NA
"61",NA,NA,"140 000 Ft/hó",NA,"Lehel utca"," XIII. kerület","27 m² terület","1 szoba",NA
"62","Új építésű",NA,"250 000 Ft/hó",NA,"Révész utca"," XIII. kerület","60 m² terület","3 szoba","16 m² erkély"
"63",NA,NA,"140 000 Ft/hó",NA,"Izabella utca"," VI. kerület","57 m² terület","2 szoba",NA
"64","Új építésű"," Videó elérhető","250 000 Ft/hó",NA,"Révész utca"," XIII. kerület","60 m² terület","3 szoba","16 m² erkély"
"65",NA,NA,"110 000 Ft/hó",NA,"Pápay István utca"," IX. kerület","21 m² terület","1 szoba",NA
"66","Új építésű",NA,"180 000 Ft/hó",NA,"Máriássy utca 4."," IX. kerület","42 m² terület","2 szoba","4 m² erkély"
"67",NA,NA,"170 000 Ft/hó",NA,"Sobieski János utca"," IX. kerület","60 m² terület","2 szoba","5 m² erkély"
"68",NA,NA,"125 000 Ft/hó",NA,"Kresz Géza utca 38."," XIII. kerület","41 m² terület","1 + 1 fél szoba","3 m² erkély"
"69",NA,NA,"130 000 Ft/hó",NA,"Zoltán utca"," V. kerület","45 m² terület","1 szoba",NA
"70","Új építésű",NA,"250 000 Ft/hó",NA,"Révész utca 23"," XIII. kerület","60 m² terület","3 szoba","16 m² erkély"
"71","Új építésű",NA,"195 000 Ft/hó",NA,"Vizafogó - Marinapart"," XIII. kerület","45 m² terület","2 szoba","10 m² erkély"
"72",NA,NA,"110 000 Ft/hó",NA,"Rózsa utca"," IV. kerület","53 m² terület","2 szoba","4 m² erkély"
"73",NA,NA,"150 000 Ft/hó",NA,"Ferenciek tere"," V. kerület","60 m² terület","2 szoba",NA
"74",NA,NA,"150 000 Ft/hó",NA,"Viola utca"," IX. kerület","44 m² terület","2 szoba","4 m² erkély"
"75","Videó elérhető",NA,"140 000 Ft/hó",NA,"Veres Pálné utca"," V. kerület","75 m² terület","3 szoba",NA
"76","Új építésű",NA,"180 000 Ft/hó",NA,"Tóváros út"," XI. kerület","51 m² terület","1 + 1 fél szoba","5 m² erkély"
"77","Háziállat megengedett",NA,"120 000 Ft/hó",NA,"Tátra utca"," XIII. kerület","35 m² terület","1 szoba",NA
"78",NA,NA,"420 000 Ft/hó",NA,"Logodi utca"," I. kerület","105 m² terület","4 szoba","10 m² erkély"
"79",NA,NA,"150 000 Ft/hó",NA,"Keszkenő utca"," XIII. kerület","51 m² terület","2 szoba","3 m² erkély"
"80",NA,NA,"140 000 Ft/hó",NA,"Tűzoltó utca 82"," IX. kerület","40 m² terület","2 szoba","5.5 m² erkély"
"81","Kiadó hosszútávra",NA,"105 000 Ft/hó",NA,"Gubacsi út 19"," IX. kerület","30 m² terület","1 szoba",NA
"82",NA,NA,"230 000 Ft/hó",NA,"Mátyáshegy"," III. kerület","60 m² terület","2 szoba",NA
