"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"481",NA,NA,"189 000 Ft/hó",NA,"Erkel utca 14"," IX. kerület","105 m² terület","1 + 2 fél szoba",NA
"482",NA,NA,"180 000 Ft/hó",NA,"Stefánia út"," XIV. kerület","69 m² terület","2 + 1 fél szoba",NA
"483",NA,NA,"145 000 Ft/hó",NA,"Juhász Gyula utca"," III. kerület","52 m² terület","1 + 2 fél szoba",NA
"484",NA,NA,"130 000 Ft/hó",NA,"Szinyei Merse utca"," VI. kerület","30 m² terület","1 szoba",NA
"485",NA,NA,"140 000 Ft/hó",NA,"Árpád fejedelem útja 42"," II. kerület","40 m² terület","1 + 1 fél szoba","3 m² erkély"
"486",NA,NA,"115 000 Ft/hó",NA,"József Attila utca"," XIX. kerület","33 m² terület","1 szoba","2 m² erkély"
"487","Új építésű",NA,"220 000 Ft/hó",NA,"Királyok útja 243"," III. kerület","50 m² terület","1 + 1 fél szoba","10 m² erkély"
"488",NA,NA,"120 000 Ft/hó",NA,"Handzsár utca"," XIV. kerület","54 m² terület","2 szoba","3 m² erkély"
"489",NA,NA,"170 000 Ft/hó",NA,"Naphegy utca 59."," I. kerület","44 m² terület","2 szoba","3 m² erkély"
"490","Új építésű",NA,"250 000 Ft/hó",NA,"Rodostó utca"," XI. kerület","48 m² terület","1 + 1 fél szoba","11 m² erkély"
"491","Új építésű",NA,"195 000 Ft/hó",NA,"Nánási út"," III. kerület","56 m² terület","2 szoba","5 m² erkély"
"492",NA,NA,"150 000 Ft/hó",NA,"Kerekes utca"," XIII. kerület","44 m² terület","2 szoba",NA
"493",NA,NA,"120 000 Ft/hó",NA,"Lőcsei út"," XIV. kerület","46 m² terület","2 szoba",NA
"494",NA,NA,"195 000 Ft/hó",NA,"Kacsóh Pongrác utca"," Dunakeszi","63 m² terület","2 + 1 fél szoba","10 m² erkély"
"495",NA,NA,"185 000 Ft/hó",NA,"Bartók Béla út 21"," XI. kerület","86 m² terület","2 szoba",NA
"496",NA,NA,"140 000 Ft/hó",NA,"Ostrom utca"," I. kerület","42 m² terület","1 + 1 fél szoba",NA
"497",NA,NA,"120 000 Ft/hó",NA,"Farkaserdő utca"," IV. kerület","36 m² terület","1 szoba","3 m² erkély"
"498",NA,NA,"120 000 Ft/hó",NA,"Himfy utca"," XI. kerület","35 m² terület","1 szoba",NA
"499",NA,NA,"470 000 Ft/hó",NA,"Fehér Hajó utca 8-10"," V. kerület","67 m² terület","3 szoba",NA
"500",NA,NA,"340 000 Ft/hó",NA,"Andor utca 24-28"," XI. kerület","66 m² terület","2 + 1 fél szoba","60 m² erkély"
"501",NA,NA,"350 000 Ft/hó",NA,"Lechner Ödön fasor 1"," IX. kerület","74 m² terület","2 + 1 fél szoba","10 m² erkély"
"502","Új építésű",NA,"230 000 Ft/hó",NA,"Corvin sétány 1"," VIII. kerület","44 m² terület","2 szoba","5 m² erkély"
"503",NA,NA,"130 000 Ft/hó",NA,"Tenkes utca"," XXII. kerület","44 m² terület","1 + 1 fél szoba","5 m² erkély"
"504",NA,NA,"120 000 Ft/hó",NA,"Szeszgyár utca"," VIII. kerület","35 m² terület","1 szoba",NA
"505",NA,NA,"145 000 Ft/hó",NA,"Fehérvári út 168"," XI. kerület","41 m² terület","1 + 1 fél szoba","6 m² erkély"
"506","Új építésű",NA,"140 000 Ft/hó",NA,"Bartók Béla út 98-102."," XI. kerület","35 m² terület","1 szoba",NA
"507",NA,NA,"130 000 Ft/hó",NA,"Márton utca"," IX. kerület","40 m² terület","1 szoba","9 m² erkély"
"508",NA,NA,"155 000 Ft/hó",NA,"Nádastó park 26"," XV. kerület","64 m² terület","2 + 1 fél szoba","4 m² erkély"
"509",NA,NA,"400 000 Ft/hó",NA,"Ilka utca 34"," XIV. kerület","188 m² terület","5 szoba","15 m² erkély"
"510",NA,NA,"100 000 Ft/hó",NA,"Lukács utca"," II. kerület","30 m² terület","1 szoba",NA
"511",NA,NA,"120 000 Ft/hó",NA,"Lobogó utca"," IX. kerület","27 m² terület","1 szoba",NA
"512",NA,NA,"170 000 Ft/hó",NA,"Villányi út 55"," XI. kerület","55 m² terület","3 szoba",NA
"513",NA,NA,"120 000 Ft/hó",NA,"Közraktár utca"," IX. kerület","30 m² terület","1 szoba",NA
"514",NA,NA,"250 000 Ft/hó",NA,"Logodi utca"," I. kerület","68 m² terület","2 + 1 fél szoba","8 m² erkély"
"515",NA,NA,"180 000 Ft/hó",NA,"Izabella utca"," VI. kerület","62 m² terület","1 + 2 fél szoba",NA
"516",NA,NA,"160 000 Ft/hó",NA,"Fehérvári út 168-178"," XI. kerület","36 m² terület","1 + 1 fél szoba","6 m² erkély"
"517",NA,NA,"150 000 Ft/hó",NA,"Batthyány utca"," XIX. kerület","53 m² terület","1 + 2 fél szoba",NA
"518",NA,NA,"130 000 Ft/hó",NA,"Gizella út"," XIV. kerület","53 m² terület","1 + 1 fél szoba",NA
"519",NA,NA,"120 000 Ft/hó",NA,"Erzsébet királyné körút 12"," Gödöllő","43 m² terület","1 szoba",NA
"520",NA,NA,"300 000 Ft/hó",NA,"Botond utca 14."," XIII. kerület","99 m² terület","3 + 1 fél szoba","25 m² erkély"
"521","Új építésű",NA,"150 000 Ft/hó",NA,"Kucsma utca 5."," XIII. kerület","37 m² terület","1 + 1 fél szoba",NA
"522",NA,NA,"160 000 Ft/hó",NA,"Barát utca"," VII. kerület","37 m² terület","1 + 1 fél szoba","23 m² erkély"
"523",NA,NA,"120 000 Ft/hó",NA,"Bakáts tér"," IX. kerület","33 m² terület","1 szoba","3 m² erkély"
"524",NA,NA,"200 000 Ft/hó",NA,"Pusztaszeri út"," II. kerület","70 m² terület","2 + 1 fél szoba",NA
"525",NA,NA,"160 000 Ft/hó",NA,"Zsolnay Vilmos utca"," XIV. kerület","58 m² terület","2 szoba","6 m² erkély"
"526",NA,NA,"150 000 Ft/hó",NA,"Böszörményi út"," XII. kerület","41 m² terület","1 + 1 fél szoba","3 m² erkély"
"527",NA,NA,"130 000 Ft/hó",NA,"Cserhát utca"," VII. kerület","42 m² terület","1 szoba",NA
"528",NA,NA,"158 000 Ft/hó",NA,"Károly körút"," V. kerület","52 m² terület","2 szoba",NA
"529",NA,NA,"120 000 Ft/hó",NA,"Csilla utca 10/B."," X. kerület","36 m² terület","1 + 1 fél szoba",NA
"530",NA,NA,"150 000 Ft/hó",NA,"Mária tér"," I. kerület","36 m² terület","1 + 1 fél szoba",NA
"531","Új építésű",NA,"220 000 Ft/hó",NA,"Dorozsmai utca 203-209"," XIV. kerület","53 m² terület","3 szoba","16 m² erkély"
"532",NA,NA,"200 000 Ft/hó",NA,"Podmaniczky utca"," VI. kerület","51 m² terület","2 szoba",NA
"533",NA,NA,"150 000 Ft/hó",NA,"Jerney utca"," XIV. kerület","43 m² terület","1 + 1 fél szoba",NA
"534",NA,NA,"200 000 Ft/hó",NA,"Gyulai Pál utca"," VIII. kerület","75 m² terület","2 szoba",NA
"535",NA,NA,"140 000 Ft/hó",NA,"Zólyomi út"," XI. kerület","50 m² terület","2 szoba","14 m² erkély"
"536",NA,NA,"150 000 Ft/hó",NA,"Felső Zöldmáli út 61"," II. kerület","50 m² terület","2 szoba",NA
"537",NA,NA,"120 000 Ft/hó",NA,"Práter utca 58."," VIII. kerület","56 m² terület","1 + 1 fél szoba","8 m² erkély"
"538",NA,NA,"140 000 Ft/hó",NA,"Halomi út 65-81/B"," XVIII. kerület","45 m² terület","1 + 1 fél szoba","4 m² erkély"
"539",NA,NA,"120 000 Ft/hó",NA,"Jókai utca"," XIX. kerület","53 m² terület","1 + 2 fél szoba",NA
"540",NA,NA,"165 000 Ft/hó",NA,"Benczúr utca 43"," VI. kerület","36 m² terület","1 szoba",NA
"541",NA,NA,"110 000 Ft/hó",NA,"Bródy Sándor utca 13"," VIII. kerület","26 m² terület","1 szoba",NA
"542",NA,NA,"140 000 Ft/hó",NA,"Krisztina körút 17."," XII. kerület","43 m² terület","1 + 1 fél szoba","18 m² erkély"
"543",NA,NA,"460 000 Ft/hó",NA,"Jablonka út"," III. kerület","120 m² terület","4 szoba","40 m² erkély"
"544",NA,NA,"325 000 Ft/hó",NA,"Szent István park"," XIII. kerület","97 m² terület","3 + 1 fél szoba","4 m² erkély"
"545",NA,NA,"310 000 Ft/hó",NA,"Törökbálinti út"," XI. kerület","110 m² terület","3 szoba","9 m² erkély"
"546",NA,NA,"190 000 Ft/hó",NA,"Aladár utca"," I. kerület","82 m² terület","2 szoba",NA
"547",NA,NA,"140 000 Ft/hó",NA,"Tárnoki út"," Érd","90 m² terület","2 + 1 fél szoba","12 m² erkély"
"548",NA,NA,"159 000 Ft/hó",NA,"Lónyay utca"," IX. kerület","60 m² terület","2 szoba","2 m² erkély"
"549",NA,NA,"260 000 Ft/hó",NA,"Andrássy út"," VI. kerület","65 m² terület","2 szoba",NA
"550",NA,NA,"530 000 Ft/hó",NA,"Andrássy út 31"," VI. kerület","136 m² terület","3 + 1 fél szoba",NA
"551","Új építésű"," Virtuális séta","200 000 Ft/hó",NA,"Beszterce utca"," III. kerület","45 m² terület","2 szoba","5 m² erkély"
"552","Új építésű",NA,"215 000 Ft/hó",NA,"Rodostó utca"," XI. kerület","52 m² terület","2 szoba","8 m² erkély"
"553",NA,NA,"250 000 Ft/hó",NA,"Garibaldi utca"," V. kerület","67 m² terület","2 szoba","8 m² erkély"
"554",NA,NA,"199 000 Ft/hó",NA,"Likőr utca 4"," IX. kerület","61 m² terület","1 + 2 fél szoba","10 m² erkély"
"555",NA,NA,"195 000 Ft/hó",NA,"Akácfa utca"," VII. kerület","55 m² terület","2 + 1 fél szoba","3 m² erkély"
"556",NA,NA,"300 000 Ft/hó",NA,"Petőfi Sándor utca"," V. kerület","100 m² terület","3 + 1 fél szoba",NA
"557",NA,NA,"150 000 Ft/hó",NA,"Haraszt utca"," XI. kerület","48 m² terület","2 szoba","9 m² erkély"
"558",NA,NA,"170 000 Ft/hó",NA,"Németvölgy"," XII. kerület","77 m² terület","2 + 2 fél szoba",NA
"559",NA,NA,"120 000 Ft/hó",NA,"Telepy utca"," IX. kerület","36 m² terület","1 szoba",NA
"560",NA,NA,"200 000 Ft/hó",NA,"Káplár utca"," II. kerület","57 m² terület","2 szoba","5 m² erkély"
"561",NA,NA,"125 000 Ft/hó",NA,"Boráros tér 7"," IX. kerület","33 m² terület","1 szoba",NA
"562",NA,NA,"200 000 Ft/hó",NA,"Budaörsi út"," XI. kerület","60 m² terület","2 + 1 fél szoba",NA
"563",NA,NA,"190 000 Ft/hó",NA,"Márton utca"," IX. kerület","52 m² terület","2 + 1 fél szoba","12 m² erkély"
"564",NA,NA,"200 000 Ft/hó",NA,"Budaörsi út"," XI. kerület","60 m² terület","2 + 1 fél szoba",NA
"565",NA,NA,"120 000 Ft/hó",NA,"Szent László út"," XIII. kerület","30 m² terület","1 + 1 fél szoba",NA
"566","Új építésű"," Videó elérhető","599 000 Ft/hó",NA,"Dob utca 32-34"," VII. kerület","75 m² terület","3 szoba","100 m² erkély"
"567","Új építésű",NA,"140 000 Ft/hó",NA,"Lehel utca 68"," XIII. kerület","27 m² terület","1 szoba",NA
"568",NA,NA,"140 000 Ft/hó",NA,"Vág utca"," XIII. kerület","38 m² terület","1 szoba","2 m² erkély"
"569",NA,NA,"115 000 Ft/hó",NA,"Hegedűs Gyula utca"," XIII. kerület","21 m² terület","1 szoba",NA
"570",NA,NA,"198 000 Ft/hó",NA,"Köbölkút utca"," XI. kerület","53 m² terület","2 szoba",NA
"571","Új építésű",NA,"200 000 Ft/hó",NA,"Cserhalom utca"," XIII. kerület","42 m² terület","2 szoba","8 m² erkély"
"572","Videó elérhető",NA,"190 000 Ft/hó",NA,"Márton utca"," IX. kerület","52 m² terület","2 + 1 fél szoba","12 m² erkély"
"573",NA,NA,"145 000 Ft/hó",NA,"Sajó utca"," VII. kerület","60 m² terület","2 szoba","3 m² erkély"
"574","Új építésű",NA,"230 000 Ft/hó",NA,"Corvin sétány"," VIII. kerület","54 m² terület","2 szoba","8 m² erkély"
"575",NA,NA,"250 000 Ft/hó",NA,"Kiss János altábornagy utca"," XII. kerület","58 m² terület","2 + 1 fél szoba",NA
"576",NA,NA,"130 000 Ft/hó",NA,"Egry József utca"," XI. kerület","43 m² terület","1 szoba",NA
"577",NA,NA,"230 000 Ft/hó",NA,"Frankel Leó út"," II. kerület","77 m² terület","4 szoba","1 m² erkély"
"578","Virtuális séta",NA,"200 000 Ft/hó",NA,"Vám utca 1."," I. kerület","50 m² terület","2 szoba","2 m² erkély"
"579","Nagy terasz",NA,"346 893 Ft/hó",NA,"Tinódi utca 1"," IX. kerület","63 m² terület","2 szoba","12 m² erkély"
"580",NA,NA,"160 000 Ft/hó",NA,"Horváth Mihály tér"," VIII. kerület","60 m² terület","2 szoba","2 m² erkély"
"581",NA,NA,"350 000 Ft/hó",NA,"Ráday utca"," IX. kerület","103 m² terület","3 szoba",NA
"582",NA,NA,"170 000 Ft/hó",NA,"Sztregova utca"," XI. kerület","46 m² terület","1 + 1 fél szoba","6 m² erkély"
"583",NA,NA,"460 000 Ft/hó",NA,"Törökvész út"," II. kerület","130 m² terület","4 szoba","10 m² erkély"
"584",NA,NA,"130 000 Ft/hó",NA,"Kaszásdűlő utca"," III. kerület","51 m² terület","2 szoba",NA
"585",NA,NA,"210 000 Ft/hó",NA,"Lipótváros"," V. kerület","47 m² terület","2 szoba",NA
"586","Új építésű",NA,"550 000 Ft/hó",NA,"Cserhalom utca"," XIII. kerület","112 m² terület","4 szoba","83 m² erkély"
"587",NA,NA,"115 000 Ft/hó",NA,"Bródy Sándor utca"," VIII. kerület","41 m² terület","1 + 1 fél szoba",NA
"588",NA,NA,"160 000 Ft/hó",NA,"Endrődi Sándor utca"," II. kerület","52 m² terület","1 szoba","8 m² erkély"
"589",NA,NA,"240 000 Ft/hó",NA,"Maros utca"," XII. kerület","93 m² terület","3 szoba","9 m² erkély"
"590",NA,NA,"120 000 Ft/hó",NA,"Távíró utca"," IX. kerület","39 m² terület","1 + 1 fél szoba","4 m² erkély"
"591",NA,NA,"182 575 Ft/hó",NA,"Ferenc körút"," IX. kerület","36 m² terület","1 + 1 fél szoba",NA
"592",NA,NA,"595 000 Ft/hó",NA,"Leshegy utca"," II. kerület","220 m² terület","6 szoba","30 m² erkély"
"593",NA,NA,"180 000 Ft/hó",NA,"Törökőr"," XIV. kerület","98 m² terület","4 szoba",NA
"594",NA,NA,"250 000 Ft/hó",NA,"Falk Miksa utca 3"," V. kerület","70 m² terület","2 + 1 fél szoba",NA
"595",NA,NA,"280 000 Ft/hó",NA,"Molnár utca 26"," V. kerület","110 m² terület","4 szoba",NA
"596",NA,NA,"390 000 Ft/hó",NA,"Szilágyi Erzsébet fasor"," II. kerület","115 m² terület","3 + 1 fél szoba","4 m² erkély"
"597",NA,NA,"220 000 Ft/hó",NA,"Falk Miksa utca"," V. kerület","62 m² terület","2 + 1 fél szoba",NA
"598",NA,NA,"185 000 Ft/hó",NA,"Fekete István utca"," II. kerület","62 m² terület","2 szoba","6 m² erkély"
"599","Új építésű",NA,"185 000 Ft/hó",NA,"Corvin sétány"," VIII. kerület","50 m² terület","2 szoba",NA
"600",NA,NA,"278 000 Ft/hó",NA,"Rómer Flóris utca 22-24"," II. kerület","74 m² terület","3 szoba","6 m² erkély"
"601","Új építésű",NA,"200 000 Ft/hó",NA,"Cserhalom utca 5"," XIII. kerület","42 m² terület","2 szoba","8 m² erkély"
"602",NA,NA,"160 000 Ft/hó",NA,"Népszínház utca"," VIII. kerület","50 m² terület","1 + 1 fél szoba",NA
"603",NA,NA,"130 000 Ft/hó",NA,"Thököly út"," VII. kerület","43 m² terület","1 + 1 fél szoba",NA
"604",NA,NA,"160 000 Ft/hó",NA,"Kálvin tér 2"," V. kerület","52 m² terület","1 + 1 fél szoba",NA
"605","Új építésű",NA,"200 000 Ft/hó",NA,"Cserhalom utca"," XIII. kerület","43 m² terület","2 szoba","9 m² erkély"
"606",NA,NA,"230 000 Ft/hó",NA,"Szinyei Merse utca"," VI. kerület","77 m² terület","3 szoba","4 m² erkély"
"607",NA,NA,"210 000 Ft/hó",NA,"Kanizsai utca 33"," XI. kerület","73 m² terület","2 szoba","9 m² erkély"
"608",NA,NA,"120 000 Ft/hó",NA,"Öv utca"," XIV. kerület","34 m² terület","1 + 1 fél szoba",NA
"609",NA,NA,"125 000 Ft/hó",NA,"Veder utca"," III. kerület","50 m² terület","2 szoba",NA
"610",NA,NA,"125 000 Ft/hó",NA,"Hegedűs Gyula utca"," XIII. kerület","25 m² terület","1 szoba",NA
"611","Új építésű",NA,"120 000 Ft/hó",NA,"Haller utca"," IX. kerület","30 m² terület","1 szoba",NA
"612","Új építésű",NA,"500 000 Ft/hó",NA,"Angyalföld - Lőportárdűlő"," XIII. kerület","75 m² terület","3 szoba","75 m² erkély"
"613",NA,NA,"200 000 Ft/hó",NA,"Reáltanoda utca"," V. kerület","78 m² terület","2 + 1 fél szoba",NA
"614",NA,NA,"180 000 Ft/hó",NA,"Lónyay utca"," IX. kerület","64 m² terület","2 szoba",NA
"615",NA,NA,"280 000 Ft/hó",NA,"Beregszász út"," XI. kerület","77 m² terület","3 szoba","56 m² erkély"
"616",NA,NA,"130 000 Ft/hó",NA,"Sörgyár utca"," X. kerület","54 m² terület","2 szoba","4 m² erkély"
"617",NA,NA,"150 000 Ft/hó",NA,"Kölcsey utca"," VIII. kerület","42 m² terület","2 szoba",NA
"618",NA,NA,"180 000 Ft/hó",NA,"Viola utca"," IX. kerület","54 m² terület","2 szoba","6 m² erkély"
"619","Új építésű",NA,"160 000 Ft/hó",NA,"Vágóhíd utca"," IX. kerület","44 m² terület","1 + 1 fél szoba","8 m² erkély"
"620",NA,NA,"140 000 Ft/hó",NA,"Karikás Frigyes utca"," XIII. kerület","46 m² terület","1 + 1 fél szoba",NA
"621",NA,NA,"490 000 Ft/hó",NA,"Hegyalja út 152"," XII. kerület","134 m² terület","4 szoba",NA
"622",NA,NA,"140 000 Ft/hó",NA,"Fehérvári út"," XI. kerület","55 m² terület","2 szoba",NA
"623","Háziállat megengedett",NA,"300 000 Ft/hó",NA,"Szeréna út 60"," II. kerület","90 m² terület","4 szoba","250 m² erkély"
"624",NA,NA,"300 000 Ft/hó",NA,"Kmety György utca"," VI. kerület","94 m² terület","3 szoba","94 m² erkély"
"625",NA,NA,"324 984 Ft/hó",NA,"Hercegprímás utca 9"," V. kerület","58 m² terület","2 szoba",NA
"626",NA,NA,"150 000 Ft/hó",NA,"Palóc utca"," XIII. kerület","49 m² terület","2 szoba","11 m² erkély"
"627","Új építésű",NA,"250 000 Ft/hó",NA,"Lenhossék utca 3"," IX. kerület","54 m² terület","2 szoba","100 m² erkély"
"628",NA,NA,"140 000 Ft/hó",NA,"II. Rákóczi Ferenc út 107-115"," XXI. kerület","54 m² terület","2 szoba","8 m² erkély"
"629",NA,NA,"999 000 Ft/hó",NA,"Gellérthegy"," XI. kerület","160 m² terület","2 + 2 fél szoba",NA
"630",NA,NA,"160 000 Ft/hó",NA,"Dandár utca"," IX. kerület","48 m² terület","2 szoba","5 m² erkély"
"631",NA,NA,"130 000 Ft/hó",NA,"Hollán Ernő utca"," XIII. kerület","41 m² terület","1 + 1 fél szoba",NA
"632","Tulajdonostól!",NA,"250 000 Ft/hó",NA,"Felső Zöldmáli út"," II. kerület","60 m² terület","2 szoba","20 m² erkély"
"633","Külön nyíló szobák",NA,"245 000 Ft/hó",NA,"Hollán Ernő utca"," XIII. kerület","84 m² terület","3 szoba","2 m² erkély"
"634","Jó helyen",NA,"198 000 Ft/hó",NA,"Újpesti rakpart 8."," XIII. kerület","45 m² terület","1 szoba",NA
"635","Tulajdonostól!",NA,"165 000 Ft/hó",NA,"Városmajor utca 7-9"," XII. kerület","55 m² terület","1 + 1 fél szoba","7 m² erkély"
"636","Tulajdonostól!",NA,"135 000 Ft/hó",NA,"Tűzkő utca"," XI. kerület","55 m² terület","2 szoba","3 m² erkély"
"637","Kertkapcsolatos",NA,"270 000 Ft/hó",NA,"Orlay utca"," XI. kerület","105 m² terület","3 + 2 fél szoba","10 m² erkély"
"638","Tulajdonostól!",NA,"125 000 Ft/hó",NA,"Váci út 138/A"," XIII. kerület","50 m² terület","2 szoba",NA
"639","Azonnal költözhető",NA,"210 000 Ft/hó",NA,"Csévi utca"," II. kerület","80 m² terület","3 + 1 fél szoba","30 m² erkély"
"640","Kertkapcsolatos",NA,"925 000 Ft/hó",NA,"Kavics utca"," II. kerület","157 m² terület","4 + 1 fél szoba","40 m² erkély"
"641","Panorámás",NA,"225 000 Ft/hó",NA,"Sirály utca"," Remeteszőlős","82 m² terület","1 + 2 fél szoba","2 m² erkély"
"642","Tulajdonostól!",NA,"260 000 Ft/hó",NA,"Király utca 33"," VII. kerület","70 m² terület","3 szoba","2 m² erkély"
"643","Új építésű"," Kiadó hosszútávra","200 000 Ft/hó",NA,"Cserhalom utca"," XIII. kerület","37 m² terület","2 szoba","8 m² erkély"
"644","Kertkapcsolatos",NA,"145 000 Ft/hó",NA,"Rezeda utca"," XI. kerület","35 m² terület","1 szoba","8 m² erkély"
"645","Azonnal költözhető",NA,"180 000 Ft/hó",NA,"Budakeszi út"," II. kerület","36 m² terület","1 szoba","4 m² erkély"
"646","Panorámás",NA,"250 000 Ft/hó",NA,"Csejtei utca"," II. kerület","78 m² terület","3 szoba","15 m² erkély"
"647","Egyetemhez közel",NA,"320 000 Ft/hó",NA,"Sárkány utca"," VIII. kerület","92 m² terület","4 szoba","5 m² erkély"
"648","Tulajdonostól!",NA,"221 000 Ft/hó",NA,"Falk Miksa utca"," V. kerület","70 m² terület","2 szoba",NA
"649","Tulajdonostól!",NA,"240 000 Ft/hó",NA,"Honvéd utca 18"," V. kerület","62 m² terület","2 szoba",NA
"650","Azonnal költözhető",NA,"275 000 Ft/hó",NA,"Széchenyi utca"," V. kerület","71 m² terület","3 szoba",NA
"651","Azonnal költözhető",NA,"399 000 Ft/hó",NA,"Nádor utca 24"," V. kerület","104 m² terület","5 szoba",NA
"652","Tulajdonostól!",NA,"130 000 Ft/hó",NA,"Orsó utca"," II. kerület","49 m² terület","1 + 1 fél szoba","4 m² erkély"
"653","Azonnal költözhető",NA,"175 000 Ft/hó",NA,"Sztregova utca"," XI. kerület","46 m² terület","1 + 1 fél szoba","6 m² erkély"
"654","Álomotthon",NA,"290 000 Ft/hó",NA,"Várfok utca"," I. kerület","67 m² terület","2 + 1 fél szoba",NA
"655","Tulajdonostól!",NA,"274 000 Ft/hó",NA,"Corvin sétány 2."," VIII. kerület","64 m² terület","2 + 1 fél szoba","24 m² erkély"
"656","Azonnal költözhető",NA,"170 000 Ft/hó",NA,"Visegrádi utca"," XIII. kerület","64 m² terület","2 + 1 fél szoba",NA
"657","Tulajdonostól!",NA,"325 000 Ft/hó",NA,"Budakeszi út 77"," II. kerület","86 m² terület","3 szoba","10 m² erkély"
"658","Panorámás",NA,"700 000 Ft/hó",NA,"Belgrád rakpart 6-8"," V. kerület","106 m² terület","4 szoba",NA
"659","Álomotthon",NA,"120 000 Ft/hó",NA,"Baross utca 84"," VIII. kerület","23 m² terület","1 szoba",NA
"660","Új építésű"," Azonnal költözhető","385 000 Ft/hó",NA,"Corvin sétány"," VIII. kerület","61 m² terület","3 szoba","16 m² erkély"
"661","Teraszos",NA,"460 000 Ft/hó",NA,"Törökvész út"," II. kerület","130 m² terület","4 szoba","10 m² erkély"
"662","Új építésű"," Igazi luxus","340 000 Ft/hó",NA,"Németvölgyi út 41"," XII. kerület","53 m² terület","2 szoba","11 m² erkély"
"663","Kertkapcsolatos",NA,"445 000 Ft/hó",NA,"Mártonvölgy utca"," XII. kerület","80 m² terület","3 szoba",NA
"664","Igényes",NA,"160 000 Ft/hó",NA,"Kalapács utca"," XIV. kerület","32 m² terület","1 szoba","2 m² erkély"
"665","Felújított",NA,"480 000 Ft/hó",NA,"Andrássy út"," VI. kerület","104 m² terület","3 szoba",NA
"666","Jó közlekedés",NA,"130 000 Ft/hó",NA,"Weiner Leó utca 8"," VI. kerület","46 m² terület","1 szoba",NA
"667","Jó beosztású",NA,"250 000 Ft/hó",NA,"Stollár Béla utca"," V. kerület","80 m² terület","2 + 1 fél szoba","8 m² erkély"
"668","Tulajdonostól!",NA,"189 000 Ft/hó",NA,"Nagyajtai utca 3."," II. kerület","50 m² terület","2 szoba","1 m² erkély"
"669","Igényes",NA,"890 000 Ft/hó",NA,"Bécsi utca 5."," V. kerület","170 m² terület","5 + 1 fél szoba","10 m² erkély"
"670","Tulajdonostól!",NA,"400 000 Ft/hó",NA,"Hárshegyi út 23"," II. kerület","100 m² terület","3 szoba",NA
"671","Új építésű"," Garázzsal","160 000 Ft/hó",NA,"Szabolcs utca 43"," XIII. kerület","43 m² terület","1 + 1 fél szoba","8 m² erkély"
"672","Nagy terasz",NA,"280 000 Ft/hó",NA,"Németvölgyi út 23"," XII. kerület","82 m² terület","2 + 1 fél szoba","25 m² erkély"
"673","Új építésű"," Tulajdonostól!","240 000 Ft/hó",NA,"Orló utca"," II. kerület","39 m² terület","2 szoba",NA
"674","Új építésű"," Tulajdonostól!","350 000 Ft/hó",NA,"Rózsa utca 55"," VI. kerület","77 m² terület","3 szoba","14 m² erkély"
"675","Jó helyen",NA,"240 000 Ft/hó",NA,"Tompa utca 5"," IX. kerület","111 m² terület","4 + 1 fél szoba",NA
"676","Azonnal költözhető",NA,"130 000 Ft/hó",NA,"Irinyi József utca"," XI. kerület","33 m² terület","1 szoba","4 m² erkély"
"677","Azonnal költözhető",NA,"160 000 Ft/hó",NA,"Kapás utca 26-44"," II. kerület","40 m² terület","1 szoba","6 m² erkély"
"678","Rögtön bérbeadó",NA,"190 000 Ft/hó",NA,"Tornalja utca"," XII. kerület","55 m² terület","2 szoba",NA
"679","Azonnal költözhető",NA,"130 000 Ft/hó",NA,"Kerepesi út"," XIV. kerület","46 m² terület","1 + 1 fél szoba",NA
"680","Panorámás",NA,"160 000 Ft/hó",NA,"Széchenyi István tér 12"," Szentendre","56 m² terület","2 szoba","4 m² erkély"
"681","Azonnal költözhető",NA,"220 000 Ft/hó",NA,"Kisfaludy utca"," VIII. kerület","83 m² terület","2 szoba",NA
"682","Új építésű"," Igényes","400 000 Ft/hó",NA,"Ilka utca"," XIV. kerület","123 m² terület","4 szoba","40 m² erkély"
"683","Tulajdonostól!",NA,"390 000 Ft/hó",NA,"Nyúl utca"," II. kerület","78 m² terület","2 szoba",NA
"684","Azonnal költözhető",NA,"150 000 Ft/hó",NA,"Fehérvári út 182-190"," XI. kerület","42 m² terület","2 szoba",NA
"685","Jó helyen",NA,"120 000 Ft/hó",NA,"Hegedűs Gyula utca 42"," XIII. kerület","46 m² terület","1 + 1 fél szoba","2 m² erkély"
"686","Jó közlekedés",NA,"167 000 Ft/hó",NA,"Villányi út 55-65"," XI. kerület","52 m² terület","2 szoba",NA
"687","Új építésű"," Tulajdonostól!","160 000 Ft/hó",NA,"Tulipán utca"," XIX. kerület","45 m² terület","2 szoba",NA
"688","Jó közlekedés",NA,"270 000 Ft/hó",NA,"Kölcsey utca 4."," VIII. kerület","72 m² terület","2 szoba","3 m² erkély"
"689","Rögtön bérbeadó",NA,"450 000 Ft/hó",NA,"Maléter Pál utca"," XI. kerület","92 m² terület","3 szoba","26 m² erkély"
"690","Garázzsal",NA,"120 000 Ft/hó",NA,"Meggyfa utca"," XXI. kerület","55 m² terület","1 + 2 fél szoba",NA
"691","Új építésű"," Azonnal költözhető","220 000 Ft/hó",NA,"Törökverő út 5."," XI. kerület","59 m² terület","3 szoba","14 m² erkély"
